"Name","Frequency"
"OLIVIA",933
"EMMA",789
"CHARLOTTE",711
"AVA",657
"SOPHIA",597
"ABIGAIL",501
"EMILY",478
"AMELIA",475
"MIA",462
"ISABELLA",432
"ELLA",429
"CHLOE",427
"EVELYN",413
"HANNAH",371
"GRACE",368
"ARIA",356
"AVERY",346
"LILY",334
"ISLA",324
"AUDREY",323
"SOFIA",323
"SCARLETT",314
"CLAIRE",307
"VICTORIA",301
"ELIZABETH",298
"MAYA",294
"MADISON",274
"MILA",266
"SOPHIE",251
"VIOLET",244
"SARAH",236
"LEAH",233
"BROOKLYN",232
"ELLIE",232
"JULIA",232
"HAILEY",227
"NORA",224
"ALICE",222
"HARPER",222
"ZOE",219
"ISABELLE",217
"ZOEY",214
"ANNA",211
"LAYLA",205
"CLARA",204
"ADDISON",202
"MACKENZIE",200
"QUINN",200
"RILEY",200
"EVA",192
"STELLA",191
"LILLIAN",188
"EVERLY",174
"ALYSSA",168
"PENELOPE",168
"GABRIELLA",160
"IVY",159
"MARIA",158
"ALEXANDRA",157
"ELEANOR",156
"LUCY",156
"NATALIE",156
"EMILIA",152
"AUBREY",151
"ARIANA",150
"LAUREN",150
"SAMANTHA",150
"AURORA",149
"SADIE",146
"NAOMI",145
"HAZEL",143
"ARIANNA",140
"PAISLEY",139
"PAIGE",136
"MADELYN",132
"ALEXIS",131
"GEORGIA",131
"ARYA",128
"RUBY",128
"WILLOW",127
"ANNABELLE",124
"SARA",123
"SIENNA",119
"RACHEL",118
"SAVANNAH",117
"NORAH",115
"TESSA",114
"AALIYAH",113
"AUTUMN",113
"MYA",113
"ZARA",113
"PEYTON",109
"JASMINE",107
"ELENA",106
"MARYAM",106
"BROOKE",105
"TAYLOR",105
"MADELINE",104
"ROSE",103
"PIPER",102
"VALENTINA",101
"JADE",100
"JESSICA",100
"KEIRA",100
"KYLIE",98
"AUBREE",95
"ISABEL",95
"SYDNEY",94
"ALEXA",92
"ELIANA",91
"NICOLE",91
"LYLA",90
"FAITH",89
"KATHERINE",88
"SELENA",88
"SKYLAR",87
"ADELINE",86
"ANAYA",86
"KAYLEE",86
"MADELEINE",85
"JOSEPHINE",84
"REBECCA",84
"TALIA",84
"CHARLIE",83
"FATIMA",83
"LUNA",83
"MAEVE",83
"MORGAN",83
"NEVAEH",83
"KINSLEY",82
"VIVIAN",82
"ELISE",81
"FIONA",81
"KAYLA",81
"MOLLY",81
"ADELAIDE",80
"BRIELLE",80
"FREYA",80
"IRIS",80
"LYDIA",79
"ROSALIE",78
"CHELSEA",77
"EDEN",77
"GABRIELLE",77
"SERENA",76
"ALESSIA",75
"AMY",75
"KATE",75
"MARY",75
